Title,Artist,BPM,Key,Genre,Album,Grouping,Date Added,Location,Comment,Year,Overall Volume,Energy,CuePoints,ClippedPeaks
Corazon (Remix) (Quick Hit Dirty),Maitre Gims ft Lil Wayne & French Montana,100,1A,Hip Hop,,,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\Maitre Gims ft Lil Wayne & French Montana - Corazon (Remix) (Quick Hit Dirty)_pn.mp3,1A - Energy 6,2018,-12.7 dB,6,8,0
Just A Girl,No Doubt,108,10B,Other,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\No Doubt - Just A Girl_pn.mp3,10B - Energy 7 - www.mediahuman.com,,-12.9 dB,7,8,0
Big In Japan                  ,Alphaville                    ,98,7A,Retro,                              ,,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\80's Songs From Hard Drive Sound Fixed\Alphaville - Big In Japan_pn.mp3,7A - Energy 7,,-13.7 dB,7,4,0
I Cry,Flo Rida,126,9A,Other,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Flo Rida - I Cry_pn.mp3,9A - Energy 8 - www.mediahuman.com,,-13.2 dB,8,8,0
Blow It Up (Music Video),Timmy Trumpet x INNA x Love Harder,131,2A,Other,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Timmy Trumpet x INNA x Love Harder - Blow It Up (Music Video)_pn.mp3,2A - Energy 7 - www.mediahuman.com,,-13.0 dB,7,8,0
Hold Me Closer (Quick Hit Clean),Elton John & Britney Spears,126,8B,Pop,,,12/24/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs from Spotify 2\Songs from Spotify 2 Fixed\Elton John & Britney Spears - Hold Me Closer (Quick Hit Clean)_pn.mp3,8B - Energy 6,2022,-12.8 dB,6,7,0
Lakdi Ki Kathi Trap Mix | Mystrio Bros | Masoom | Retro Hindi Remix,,110,10B,,,,11/4/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\Lakdi Ki Kathi Trap Mix _ Mystrio Bros _ Masoom _ Retro Hindi Remix_pn.mp3,10B - Energy 5 - www.mediahuman.com,,-13.1 dB,5,6,0
Zombie,The Cranberries,81,9A,,,,12/24/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs from Spotify 2\Songs from Spotify 2 Fixed\The Cranberries - Zombie_pn.mp3,9A - Energy 6 - www.mediahuman.com,,-13.0 dB,6,6,0
THE DINER (BILLIE BY FINNEAS),Billie Eilish,125,10A,,,,5/27/2024,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\Billie Eilish - THE DINER (BILLIE BY FINNEAS)_pn.mp3,10A - Energy 6 - www.mediahuman.com,,-13.3 dB,6,8,0
All Hands On Deck REMIX (Audio) ft. Iggy Azalea,Tinashe,97,6A,Other,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Tinashe - All Hands On Deck REMIX (Audio) ft. Iggy Azalea_pn.mp3,6A - Energy 6 - www.mediahuman.com,,-12.9 dB,6,8,0
CHEERS [Audio],Blackbear & Wiz Khalifa,98,11B,Other,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Blackbear & Wiz Khalifa - CHEERS [Audio]_pn.mp3,11B - Energy 6 - www.mediahuman.com,,-12.9 dB,6,8,0
One Last Dance,Cascada & Trans-X,136,7A,Other,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Cascada & Trans-X - One Last Dance_pn.mp3,7A - Energy 6 - www.mediahuman.com,,-13.0 dB,6,7,0
Young Forever (Quick Hit Dirty),Jay-Z ft Mr. Hudson,140,8A,Hip Hop,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Jay-Z ft Mr. Hudson - Young Forever (Quick Hit Dirty)_pn.mp3,8A - Energy 4,2009,-12.7 dB,4,8,0
Love For The Streets,Young Dolph,146,10A,,,,12/19/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs From Spotify\Songs From Spotify Fixed\Young Dolph - Love For The Streets_pn.mp3,10A - Energy 7 - www.mediahuman.com,,-13.0 dB,7,8,0
Izzo (H.O.V.A.) (Quick Hit Dirty),Jay-Z,87,2A,Hip Hop,,,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\Jay-Z - Izzo (H.O.V.A.) (Quick Hit Dirty) (1)_pn.mp3,2A - Energy 6,2001,-13.1 dB,6,8,0
Pon De Replay (Intro Clean),Rihanna,99,11A,Pop,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Rihanna - Pon De Replay (Intro Clean)_pn.mp3,11A - Energy 8,2005,-12.7 dB,8,8,0
Don't Cry,Guns N' Roses,124,1B,,,,12/24/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs from Spotify 2\Songs from Spotify 2 Fixed\Guns N' Roses - Don't Cry_pn.mp3,1B - Energy 5 - www.mediahuman.com,,-13.6 dB,5,6,0
Hungry Like The Wolf,Duran Duran,130,8A,Other,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\80's Songs From Hard Drive (Backup)\Duran Duran - Duran Duran - Hungry Like The Wolf20.mp3,8A - Energy 7,,-16.8 dB,7,8,1
"You the Type (feat. Aleza, Gloss Up, Slimeroni, & K Carbon)",,149,7A,,,,3/25/2023,"C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\You the Type (feat. Aleza, Gloss Up, Slimeroni, & K Carbon)_pn.mp3",7A - Energy 8 - www.mediahuman.com,,-12.7 dB,8,8,0
Are You Lonely feat. ISÁK (Official Video) [Ultra Music],Steve Aoki & Alan Walker,90,11A,,,,12/19/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs From Spotify\Songs From Spotify Fixed\Steve Aoki & Alan Walker - Are You Lonely feat. ISÁK (Official Video) [Ultra Music]_pn.mp3,11A - Energy 6 - www.mediahuman.com,,-13.0 dB,6,7,0
Be My Lover,La Bouche,135,12A,,,,12/19/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs From Spotify\Songs From Spotify Fixed\La Bouche - Be My Lover_pn.mp3,12A - Energy 7 - www.mediahuman.com,,-12.9 dB,7,8,0
Take My Breath Away,Berlin,96,4B,,,,12/19/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs From Spotify\Songs From Spotify Fixed\Berlin - Take My Breath Away_pn.mp3,4B - Energy 7 - www.mediahuman.com,,-13.0 dB,7,8,0
Tutak Tutak Tootia by Malkit Singh [Original version],,115,7A,,,,1/13/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Indian Songs Unfixed\Indian Songs Fixed\Tutak Tutak Tootia by Malkit Singh [Original version]_pn.mp3,7A - Energy 4 - www.mediahuman.com,,-12.9 dB,4,4,0
"Akon-Beautiful Lyrics (feat. Colby O'Donis, Kardinal Offishall)",,130,5A,Other,,,10/28/2023,"C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Akon-Beautiful Lyrics (feat. Colby O'Donis, Kardinal Offishall)_pn.mp3",5A - Energy 8 - www.mediahuman.com,,-12.8 dB,8,8,0
New Shapes (Dirty),Charli XCX ft. Christine and the Queens & Caroline Polachek,107,8B,Pop,,,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\Charli XCX - New Shapes (Dirty)_pn.mp3,8B - Energy 6,2021,-12.9 dB,6,8,0
In A Dream (Original Mix),Rockell,132,8A,Other,What Are You Lookin' At?,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Rockell - In A Dream (Original Mix)_pn.mp3,8A - Energy 5 - www.mediahuman.com,1998,-13.0 dB,5,8,0
Incentives Ad (Monster House) All Pets Desktop,,131,4A,,,,12/25/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\Incentives Ad (Monster House) All Pets Desktop_pn.mp3,4A - Energy 3 - www.mediahuman.com,,-14.0 dB,3,3,0
Can't Be Broken (Quick Hit Dirty),Lil Wayne,154,7A,Hip Hop,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Lil Wayne - Can't Be Broken (Quick Hit Dirty)_pn.mp3,7A - Energy 4,2018,-12.7 dB,4,7,0
Therapy,Isabel LaRosa,144,2A,Other,Therapy,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Isabel LaRosa - Therapy_pn.mp3,2A - Energy 5 - www.mediahuman.com,2022,-13.0 dB,5,8,0
De Música Ligera,Soda Stereo,124,10A,Other,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Soda Stereo - De Música Ligera_pn.mp3,10A - Energy 7 - www.mediahuman.com,,-12.9 dB,7,8,0
Gangsta Bop,Akon,88,4A,R&B,Konvicted,,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\Akon - Gangsta Bop_pn.mp3,4A - Energy 5,2006,-13.5 dB,5,8,0
"Soweto with Don Toliver, Rema & Tempoe",Victony,105,4A,,,,4/2/2023,"C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\Victony - Soweto with Don Toliver, Rema & Tempoe_pn.mp3",4A - Energy 6 - www.mediahuman.com,,-12.8 dB,6,8,0
Watch Out,"Akon ft Styles P, Fat Joe, Rick Ross",93,1A,Other,,,10/28/2023,"C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Akon Ft Styles P, Fat Joe, Rick Ross - Watch Out_pn.mp3",1A - Energy 8,,-12.9 dB,8,5,0
Gimme The Light (Quick Hit Dirty),Sean Paul,107,7A,Dancehall,,,10/28/2023,C:\Users\jaymo\Desktop\Dj Songs Unsorted\Serato Main Music Folder\Sean Paul - Gimme The Light (Quick Hit Dirty)_pn.mp3,7A - Energy 6,2002,-13.4 dB,6,5,0
9-1-1 F. Real And Boo Yaa Trib,Eminem,89,10A,Other,Double - Disk 1,,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\B Real And Boo Yaa Tribe Eminem - 9-1-1_pn.mp3,10A - Energy 5,,-12.6 dB,5,8,0
And Then What (Instrumental),Young Jeezy feat Mannie Fresh,85,6A,Hip Hop,BPMsupreme.com,www.bpmsupreme.com,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\Young Jeezy feat Mannie Fresh - And Then What (Instrumental)_pn.mp3,6A - Energy 5 - www.bpmsupreme.com,,-13.6 dB,5,8,0
More Money More Problems (Intro Dirty),DaBaby,82,1A,Hip Hop,,,1/22/2022,C:\Users\jaymo\Desktop\Dj Songs Unsorted\DJ Songs Unsorted Sound Fixed\DaBaby - More Money More Problems (Intro Dirty)_pn.mp3,1A - Energy 5,2020,-13.1 dB,5,8,0
The Next Episode (BPM Supreme Slam Edit) (Dirty Extended),"Dr Dre ft Snoop Dogg, Kurupt & Nate Dogg",98,2A,Hip Hop,,,1/13/2024,"C:\Users\jaymo\Desktop\Dj Songs Unsorted\Songs Fixed\Dr Dre ft Snoop Dogg, Kurupt & Nate Dogg - The Next Episode (BPM Supreme Slam Edit) (Dirty Extended)_pn.mp3",2A - Energy 7,2018,-13.2 dB,7,6,0
